City_ID,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
188,Bathsheba,BB,78.8,few clouds,13.2167,-59.5167,Atlantis Hotel
189,Port Blair,IN,82.29,scattered clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
194,Cururupu,BR,76.42,broken clouds,-1.8283,-44.8683,Pousada Través'cia
195,Bac Lieu,VN,83.82,scattered clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
197,Celestun,MX,79.14,clear sky,20.8667,-90.4,Posada Lilia
199,Victoria,HK,71.01,broken clouds,22.2855,114.1577,Mini Hotel Central
200,Maua,BR,71.01,clear sky,-23.6678,-46.4614,Hotel Capriccio Mauá
201,Yulara,AU,77.0,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
208,Acajutla,SV,73.99,overcast clouds,13.5928,-89.8275,asi es
210,Pitimbu,BR,73.4,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
221,Eydhafushi,MV,81.82,clear sky,5.1033,73.0708,Soneva Fushi
226,Saint-Philippe,RE,77.0,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
227,Athmallik,IN,79.03,broken clouds,20.7219,84.5348,omm studio athmallik
230,Champerico,GT,84.2,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
232,Ternate,ID,83.52,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
233,Sola,VU,89.6,broken clouds,-13.8833,167.55,Leumerus Bungalows
237,Loreto,MX,75.88,clear sky,22.2667,-101.9667,José de Jesús Velásquez mora
239,Salalah,OM,78.8,few clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
244,Hambantota,LK,75.2,few clouds,6.1241,81.1185,Bungalow 63
246,Multai,IN,81.86,clear sky,21.7667,78.25,HOTEL SAI KRIPA MULTAI
247,Kloulklubed,PW,86.0,broken clouds,7.0419,134.2556,Storyboard Beach Resort
250,Namibe,AO,78.91,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
251,Honiara,SB,82.38,heavy intensity rain,-9.4333,159.95,Heritage Park Hotel
262,Puerto Leguizamo,CO,73.49,overcast clouds,-0.1934,-74.7819,la casona de juancho
263,Dunmore Town,BS,74.39,scattered clouds,25.5,-76.65,Coral Sands Hotel
264,Natal,BR,78.8,clear sky,-5.795,-35.2094,Villa Park Hotel | Natal
267,Panguna,PG,80.08,light rain,-6.3164,155.4848, 
271,Labuhan,ID,83.32,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
272,Tezu,IN,77.02,broken clouds,27.9167,96.1667,Circuit House
274,Davila,PH,87.8,few clouds,18.4726,120.5763,Blue Ridge Beach Resort
277,Tomatlan,MX,75.29,clear sky,19.9333,-105.25,Norma franco
280,Sonoita,MX,88.0,broken clouds,31.85,-112.8333,Hotel Nora
281,Tarakan,ID,78.8,moderate rain,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
282,Murbad,IN,80.6,smoke,19.25,73.4,OYO 62747 Hotel Sarika
284,Gizo,SB,83.91,light rain,-8.103,156.8419,Imagination Island
288,Yaan,NG,80.44,overcast clouds,7.3833,8.5667, 
290,Iguape,BR,70.48,broken clouds,-24.7081,-47.5553,Hotel Pousada Nossa Senhora do Carmo
292,Cidreira,BR,74.3,overcast clouds,-30.1811,-50.2056,Hotel Castelo
297,Touros,BR,78.8,clear sky,-5.1989,-35.4608,INN NEW HORIZON
303,Pozo Colorado,PY,80.96,overcast clouds,-23.4923,-58.7972,Hospedaje la Amistad
304,Butaritari,KI,82.22,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
305,Khipro,PK,80.94,scattered clouds,25.8285,69.3772,Raja Hotel
306,Sahuaripa,MX,80.28,broken clouds,29.05,-109.2333,Hotel El Molino
308,Airai,TL,72.64,clear sky,-8.9266,125.4092,Juvinal Martin
312,Manga,BF,87.66,broken clouds,11.6636,-1.0731,Auberge du 11 décembre de la cité CNSS à Manga
314,Araceli,PH,82.4,scattered clouds,10.5529,119.9913,JBryan Traveler's Inn
315,Tabas,IR,70.88,broken clouds,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
317,Callaguip,PH,87.8,few clouds,18.0714,120.4867,Pangil Beach Resort
322,Pandan,PH,82.29,overcast clouds,14.0453,124.1694,Bonifacio Lodge
323,Tiarei,PF,86.0,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
324,Aswan,EG,71.01,clear sky,24.0934,32.907,Nuba Nile
327,San Andres,CO,80.6,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
329,Oistins,BB,78.8,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
332,Alofi,NU,78.8,overcast clouds,-19.0595,-169.9187,Taloa Heights
337,Dalby,AU,80.6,clear sky,-27.1833,151.2667,Kobbers Motor Inn Dalby
338,Trincomalee,LK,80.24,scattered clouds,8.5711,81.2335,Welcombe Hotel
341,San Patricio,US,80.6,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
345,Charcas,MX,72.03,scattered clouds,23.1333,-101.1167,Hotel El Malacate
