City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Mar Del Plata,AR,2021-04-04 23:49:26,-38.0023,-57.5575,69.01,88,40,9.22
67,Mitu,CO,2021-04-04 23:51:58,1.1983,-70.1733,72.28,97,100,2.39
68,Viedma,AR,2021-04-04 23:51:58,-40.8135,-62.9967,77.0,43,3,15.95
69,Izhma,RU,2021-04-04 23:51:59,65.0083,53.9113,20.35,94,67,4.21
70,Sitka,US,2021-04-04 23:51:59,57.0531,-135.33,39.2,93,90,11.5
71,Nuuk,GL,2021-04-04 23:52:00,64.1835,-51.7216,35.01,93,100,47.0
72,Carnarvon,AU,2021-04-04 23:52:00,-24.8667,113.6333,75.2,83,15,14.97
73,Bambous Virieux,MU,2021-04-04 23:52:00,-20.3428,57.7575,80.01,77,45,7.0
74,Okha,RU,2021-04-04 23:52:01,53.5739,142.9478,17.92,72,6,9.86
75,Ulladulla,AU,2021-04-04 23:52:01,-35.35,150.4667,72.0,83,90,10.36
76,Castro,BR,2021-04-04 23:52:02,-24.7911,-50.0119,58.05,97,30,7.34
77,Verkhnyaya Inta,RU,2021-04-04 23:52:02,65.9811,60.3094,9.63,99,95,2.3
78,Nikolskoye,RU,2021-04-04 23:52:02,59.7035,30.7861,37.99,80,0,8.95
79,Bukama,CD,2021-04-04 23:52:03,-9.2,25.85,68.49,91,46,2.95
80,Buraydah,SA,2021-04-04 23:52:03,26.326,43.975,62.6,31,0,6.91
81,Hithadhoo,MV,2021-04-04 23:52:04,-0.6,73.0833,83.1,75,54,18.95
82,Airai,TL,2021-04-04 23:52:04,-8.9266,125.4092,62.2,93,100,3.2
83,Mayumba,GA,2021-04-04 23:52:05,-3.432,10.6554,78.69,88,100,5.95
84,Bluff,NZ,2021-04-04 23:52:05,-46.6,168.3333,57.99,64,94,21.0
85,Hidalgotitlan,MX,2021-04-04 23:52:05,17.7833,-94.6333,78.8,57,90,18.41
86,Deniliquin,AU,2021-04-04 23:52:06,-35.5333,144.9667,66.99,63,0,1.99
87,Arraial Do Cabo,BR,2021-04-04 23:52:06,-22.9661,-42.0278,75.87,73,78,13.13
88,Middle Island,US,2021-04-04 23:52:07,40.8843,-72.9373,57.2,28,1,11.5
89,Changping,CN,2021-04-04 23:52:07,40.2186,116.2197,59.0,49,0,2.21
90,Talara,PE,2021-04-04 23:52:07,-4.5772,-81.2719,71.92,82,58,10.69
91,Lagoa,PT,2021-04-04 23:52:08,39.05,-27.9833,59.9,83,77,15.48
92,Ribeira Grande,PT,2021-04-04 23:49:36,38.5167,-28.7,61.12,79,65,15.61
93,Yellowknife,CA,2021-04-04 23:52:08,62.456,-114.3525,26.6,39,1,4.61
94,Kuhdasht,IR,2021-04-04 23:52:09,33.535,47.6061,46.31,57,0,6.11
95,Salinopolis,BR,2021-04-04 23:52:09,-0.6136,-47.3561,77.79,89,88,9.98
